 age,eq5d_r,sex,productivity_cost
41,0.6,men,44431.98828
41,0.65,men,45904.4094
41,0.7,men,47289.55389
41,0.75,men,48587.76777
41,0.8,men,49800.41123
41,0.85,men,50929.65245
41,0.9,men,51978.27704
41,0.95,men,52949.51746
41,1,men,53846.90475
42,0,men,22119.64611
42,0.05,men,24108.15712
42,0.1,men,26128.94739
42,0.15,men,28165.05728
42,0.2,men,30199.68147
42,0.25,men,32216.70307
42,0.3,men,34201.15719
42,0.35,men,36139.59974
42,0.4,men,38020.36828
42,0.45,men,39833.73259
42,0.5,men,41571.94181
42,0.55,men,43229.18204
42,0.6,men,44801.4623
42,0.65,men,46286.44848
42,0.7,men,47683.26428
42,0.75,men,48992.27597
42,0.8,men,50214.87499
42,0.85,men,51353.26899
42,0.9,men,52410.28872
42,0.95,men,53389.21536
42,1,men,54293.63044
43,0,men,22179.13532
43,0.05,men,24180.41857
43,0.1,men,26215.1004
43,0.15,men,28266.09374
43,0.2,men,30316.4381
43,0.25,men,32349.84107
43,0.3,men,34351.1501
43,0.35,men,36306.72969
43,0.4,men,38204.73011
43,0.45,men,40035.24478
43,0.5,men,41790.36269
43,0.55,men,43464.12981
43,0.6,men,45052.43715
43,0.65,men,46552.85544
43,0.7,men,47964.43561
43,0.75,men,49287.49213
43,0.8,men,50523.38364
43,0.85,men,51674.30154
43,0.9,men,52743.07438
43,0.95,men,53732.99267
43,1,men,54647.65637
44,0,men,22424.01517
44,0.05,men,24459.66801
44,0.1,men,26531.03494
44,0.15,men,28620.7424
44,0.2,men,30711.48895
44,0.25,men,32786.60079
44,0.3,men,34830.51954
44,0.35,men,36829.19594
44,0.4,men,38770.37436
44,0.45,men,40643.76393
44,0.5,men,42441.10221
44,0.55,men,44156.12462
44,0.6,men,45784.45752
44,0.65,men,47323.45493
44,0.7,men,48771.99853
44,0.75,men,50130.27869
44,0.8,men,51399.57118
44,0.85,men,52582.02117
44,0.9,men,53680.44236
44,0.95,men,54698.13659
44,1,men,55638.73633
45,0,men,22261.48657
45,0.05,men,24299.26212
45,0.1,men,26375.34284
45,0.15,men,28472.3759
45,0.2,men,30572.99653
45,0.25,men,32660.38924
45,0.3,men,34718.78603
45,0.35,men,36733.87424
45,0.4,men,38693.0971
45,0.45,men,40585.84132
45,0.5,men,42403.51643
45,0.55,men,44139.53766
45,0.6,men,45789.23006
45,0.65,men,47349.67325
45,0.7,men,48819.50666
45,0.75,men,50198.71319
45,0.8,men,51488.39644
45,0.85,men,52690.56349
45,0.9,men,53807.92175
45,0.95,men,54843.6953
45,1,men,55801.46393
46,0,men,21987.73184
46,0.05,men,24021.67696
46,0.1,men,26097.20239
46,0.15,men,28197.06723
46,0.2,men,30303.90774
46,0.25,men,32400.80218
46,0.3,men,34471.77953
46,0.35,men,36502.2432
46,0.4,men,38479.29112
46,0.45,men,40391.92428
46,0.5,men,42231.14656
46,0.55,men,43989.96633
46,0.6,men,45663.31621
46,0.65,men,47247.91003
46,0.7,men,48742.05666
46,0.75,men,50145.44881
46,0.8,men,51458.94251
46,0.85,men,52684.33976
46,0.9,men,53824.18332
46,0.95,men,54881.56998
46,1,men,55859.98554
47,0,men,21896.27502
47,0.05,men,23947.32542
47,0.1,men,26044.46933
47,0.15,men,28170.45287
47,0.2,men,30307.76026
47,0.25,men,32439.18661
47,0.3,men,34548.363
47,0.35,men,36620.20292
47,0.4,men,38641.24893
47,0.45,men,40599.90934
47,0.5,men,42486.58487
47,0.55,men,44293.69437
47,0.6,men,46015.61431
47,0.65,men,47648.55078
47,0.7,men,49190.36324
47,0.75,men,50640.35881
47,0.8,men,51999.07321
47,0.85,men,53268.05172
47,0.9,men,54449.64004
47,0.95,men,55546.79194
47,1,men,56562.89786
48,0,men,21692.52069
48,0.05,men,23754.03972
48,0.1,men,25866.84082
48,0.15,men,28013.78047
48,0.2,men,30177.28834
48,0.25,men,32339.94362
48,0.3,men,34485.01423
48,0.35,men,36596.92609
48,0.4,men,38661.6386
48,0.45,men,40666.9132
48,0.5,men,42602.47202
48,0.55,men,44460.05327
48,0.6,men,46233.37624
48,0.65,men,47918.03352
48,0.7,men,49511.32945
48,0.75,men,51012.08356
48,0.8,men,52420.41586
48,0.85,men,53737.52806
48,0.9,men,54965.49154
48,0.95,men,56107.04996
48,1,men,57165.44132
49,0,men,21083.2443
49,0.05,men,23119.49618
49,0.1,men,25212.02211
49,0.15,men,27344.16446
49,0.2,men,29498.66013
49,0.25,men,31658.20665
49,0.3,men,33806.00395
49,0.35,men,35926.23815
49,0.4,men,38004.48104
49,0.45,men,40027.9891
49,0.5,men,41985.89588
49,0.55,men,43869.30116
49,0.6,men,45671.26732
49,0.65,men,47386.73876
49,0.7,men,49012.40213
49,0.75,men,50546.50601
49,0.8,men,51988.65693
49,0.85,men,53339.60649
49,0.9,men,54601.04116
49,0.95,men,55775.38354
49,1,men,56865.61079
50,0,men,18120.86401
50,0.05,men,19902.20168
50,0.1,men,21738.28741
50,0.15,men,23614.87366
50,0.2,men,25517.00578
50,0.25,men,27429.50961
50,0.3,men,29337.47048
50,0.35,men,31226.6726
50,0.4,men,33083.97403
50,0.45,men,34897.59989
50,0.5,men,36657.34542
50,0.55,men,38354.68854
50,0.6,men,39982.81873
50,0.65,men,41536.59403
50,0.7,men,43012.44072
50,0.75,men,44408.21154
50,0.8,men,45723.01753
50,0.85,men,46957.04678
50,0.9,men,48111.38148
50,0.95,men,49187.82136
50,1,men,50188.71999
51,0,men,17921.76827
51,0.05,men,19717.24647
51,0.1,men,21574.03314
51,0.15,men,23478.1932
51,0.2,men,25414.88687
51,0.25,men,27368.84775
51,0.3,men,29324.86579
51,0.35,men,31268.24358
51,0.4,men,33185.19879
51,0.45,men,35063.1926
51,0.5,men,36891.17197
51,0.55,men,38659.72207
51,0.6,men,40361.13256
51,0.65,men,41989.3873
51,0.7,men,43540.09053
51,0.75,men,45010.34477
51,0.8,men,46398.59561
51,0.85,men,47704.45733
51,0.9,men,48928.53139
51,0.95,men,50072.22741
51,1,men,51137.5937
52,0,men,17374.59329
52,0.05,men,19150.41484
52,0.1,men,20993.43755
52,0.15,men,22890.40995
52,0.2,men,24826.98774
52,0.25,men,26788.18639
52,0.3,men,28758.85287
52,0.35,men,30724.1254
52,0.4,men,32669.85302
52,0.45,men,34582.95213
52,0.5,men,36451.68478
52,0.55,men,38265.85118
52,0.6,men,40016.89659
52,0.65,men,41697.9391
52,0.7,men,43303.72928
52,0.75,men,44830.55544
52,0.8,men,46276.10898
52,0.85,men,47639.32414
52,0.9,men,48920.20453
52,0.95,men,50119.64703
52,1,men,51239.27118
53,0,men,16989.83131
53,0.05,men,18762.8049
53,0.1,men,20609.86866
53,0.15,men,22518.44396
53,0.2,men,24474.66072
53,0.25,men,26463.78143
53,0.3,men,28470.6586
53,0.35,men,30480.19576
53,0.4,men,32477.78298
53,0.45,men,34449.68209
53,0.5,men,36383.3428
53,0.55,men,38267.63853
53,0.6,men,40093.01828
53,0.65,men,41851.57742
53,0.7,men,43537.05587
53,0.75,men,45144.77539
53,0.8,men,46671.52984
