"year","sex","age","qimd","pops"
2002,1,10,2,65563
2002,1,10,3,61980
2002,1,10,4,62671
2002,1,10,5,67104
2002,1,11,1,77132
2002,1,11,2,66882
2002,1,11,3,63620
2002,1,11,4,63764
2002,1,11,5,68206
2002,1,12,1,74825
2002,1,12,2,65405
2002,1,12,3,62631
2002,1,12,4,63217
2002,1,12,5,67268
2002,1,13,1,73281
2002,1,13,2,64116
2002,1,13,3,61511
2002,1,13,4,62520
2002,1,13,5,66908
2002,1,14,1,73810
2002,1,14,2,64579
2002,1,14,3,61868
2002,1,14,4,63200
2002,1,14,5,67860
2002,1,15,1,71962
2002,1,15,2,63311
2002,1,15,3,60731
2002,1,15,4,61322
2002,1,15,5,65553
2002,1,16,1,71552
2002,1,16,2,62811
2002,1,16,3,60469
2002,1,16,4,61470
2002,1,16,5,65058
2002,1,17,1,72498
2002,1,17,2,63893
2002,1,17,3,60569
2002,1,17,4,61743
2002,1,17,5,66471
2002,1,18,1,70053
2002,1,18,2,61317
2002,1,18,3,59301
2002,1,18,4,60590
2002,1,18,5,64089
2002,1,19,1,71745
2002,1,19,2,62912
2002,1,19,3,58992
2002,1,19,4,58676
2002,1,19,5,56801
2002,1,20,1,69399
2002,1,20,2,65638
2002,1,20,3,60028
2002,1,20,4,54873
2002,1,20,5,49348
2002,1,21,1,71271
2002,1,21,2,69818
2002,1,21,3,63438
2002,1,21,4,56820
2002,1,21,5,50354
2002,1,22,1,71846
2002,1,22,2,71543
2002,1,22,3,63206
2002,1,22,4,57027
2002,1,22,5,51162
2002,1,23,1,69316
2002,1,23,2,69565
2002,1,23,3,61627
2002,1,23,4,55365
2002,1,23,5,50412
2002,1,24,1,66152
2002,1,24,2,67458
2002,1,24,3,59454
2002,1,24,4,52680
2002,1,24,5,48332
2002,1,25,1,68297
2002,1,25,2,68840
2002,1,25,3,60189
2002,1,25,4,52183
2002,1,25,5,47142
2002,1,26,1,71253
2002,1,26,2,72899
2002,1,26,3,63351
2002,1,26,4,54061
2002,1,26,5,46825
2002,1,27,1,73435
2002,1,27,2,75741
